공고일,공고번호,공고명,주소
20250508,0000060869,붙임.부산범천21BL공공분양잔여세대입주자모집공고(순번추첨동호지정),소재지 : 부산광역시 부산진구 범천동 1123-124번지 일원
20250429,2015122300017976,★(정정)(250429)경기남부권(수원·안양·오산)공가세대일반매각공고문,"경기도 수원시 팔달구 권광로 246(인계동,래미안 노블클래스, 복리시설)"
20250513,2015122300017992,250513_세종조치원신동아파밀리에3차공가주택일반매각공고문,세종특별자치시 조치원읍 도장말길 30(조치원 신동아파밀리에)
20250513,2015122300018001,[빛가람1]빛가람LH1단지일반매각공고문(무순위동호추첨),"전라남도 나주시 그린로 63(빛가람동,빛가람엘에이치1단지 아파트)"
20250430,2015122300017948,진해청안해오름_잔여주택_일반매각_공고문(2025.04.30.),"경상남도 창원시 진해구 웅동로 150(두동,청안해오름아파트)"
20250430,2015122300017949,진해석동_우림필유_잔여주택_일반매각_공고문(2025.04.30.),"경상남도 창원시 진해구 해원로 45(석동,진해석동 우림필유)"
20250430,2015122300017966,"(유주택,선착순)남양주금곡재건축매입임대분양전환후일반매각공고문","경기도 남양주시 사릉로58번길 4-32(금곡동,신도브래뉴아파트)"
20250430,0000060866,★e편한세상대장퍼스티움(부천대장A-5블록)입주자모집공고(최종),소재지 : 경기도 부천시 오정구 오정동 e편한세상 대장 퍼스티움(부천대장 A-5BL)
20250430,0000060867,★e편한세상대장퍼스티움(부천대장A-6블록)입주자모집공고(최종),소재지 : 경기도 부천시 오정구 오정동 e편한세상 대장 퍼스티움(부천대장 A-6BL)
20250430,0000060865,부천대장A8블록공공분양주택입주자모집공고문,소재지 : 경기도 부천시 오정구 봉오대로 405 부천대장 A8블록 공공분양주택
20250430,0000060863,부천대장A7블록공공분양주택입주자모집공고문_최종,소재지 : 경기도 부천시 오정구 원종동 부천대장 A7블록 공공분양주택
20250429,2015122300017930,★(250429)경기남부권(수원·안양·오산)공가세대일반매각공고문,"경기도 수원시 팔달구 권광로 246(인계동,래미안 노블클래스, 복리시설)"
20250430,0000060870,(정정공고)부천대장A7블록공공분양주택입주자모집공고문,소재지 : 경기도 부천시 오정구 원종동 부천대장 A7블록 공공분양주택
20250430,0000060872,(정정공고)부천대장A8블록공공분양주택입주자모집공고문,소재지 : 경기도 부천시 오정구 봉오대로 405 부천대장 A8블록 공공분양주택
